Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Fungal infection,itching, skin_rash, dischromic _patches, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Fungal infection,itching, skin_rash, nodal_skin_eruptions, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Allergy, shivering, chills, watering_from_eyes, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Allergy, continuous_sneezing, chills, watering_from_eyes, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Allergy, continuous_sneezing, shivering, watering_from_eyes, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Allergy, continuous_sneezing, shivering, chills, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
GERD, stomach_pain, acidity, vomiting, cough, chest_pain, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
AIDS, patches_in_throat, high_fever, extra_marital_contacts, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
AIDS, muscle_wasting, high_fever, extra_marital_contacts, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
AIDS, muscle_wasting, patches_in_throat, high_fever, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
